"User_ID sorted by SD","Ensembl_gene_id","symbol","cng_1","cng_2","cng_3","cng_4","wt_1","wt_2","wt_3","treatment30_1","treatment30_2","treatment30_3","treatment30_4"
" ENSMUSG00000113574","ENSMUSG00000113574","  Gm48037",8,6,9,18,4,8,10,24,15,12,12
" ENSMUSG00000085733","ENSMUSG00000085733","  Arhgap27os1",5,10,3,15,10,15,7,9,10,20,17
" ENSMUSG00000026634","ENSMUSG00000026634","  Angel2",1650,1578,876,1390,1126,1244,1106,1684,2188,1650,1618
" ENSMUSG00000056900","ENSMUSG00000056900","  Usp13",463,489,234,379,341,374,266,480,537,409,462
" ENSMUSG00000020107","ENSMUSG00000020107","  Anapc16",1172,1315,584,905,889,1065,926,1272,1459,1226,1216
" ENSMUSG00000091994","ENSMUSG00000091994","  E130317F20Rik",312,291,148,221,218,333,247,299,401,295,285
" ENSMUSG00000040760","ENSMUSG00000040760","  Appl1",2893,2770,1617,2137,2603,2178,1777,3008,3773,3082,2923
" ENSMUSG00000073147","ENSMUSG00000073147","  5031425E22Rik",1175,881,585,685,667,926,932,1071,1331,1141,902
" ENSMUSG00000118239","ENSMUSG00000118239","  ",178,158,116,134,136,73,143,192,194,152,164
" ENSMUSG00000019470","ENSMUSG00000019470","  Xab2",2530,2679,1582,1982,2097,1753,1589,2858,3238,2598,2943
" ENSMUSG00000027433","ENSMUSG00000027433","  Xrn2",2450,2429,1430,1803,1648,1587,1430,2302,2966,2313,2515
" ENSMUSG00000052917","ENSMUSG00000052917","  Senp7",1669,1739,1046,1275,1346,1179,912,1464,2181,1707,1700
